OBJECTID,STATION,LINE,TERMINUS,ROUTE,LONGITUDE,LATITUDE
27,Airport,BLUE,N,Bowdoin to Wonderland,-71.03022509,42.37437138
25,Aquarium,BLUE,N,Bowdoin to Wonderland,-71.05193902,42.35952564
31,Beachmont,BLUE,N,Bowdoin to Wonderland,-70.99253282,42.39726033
23,Bowdoin,BLUE,Y,Bowdoin to Wonderland,-71.06183766,42.36116942
26,Maverick,BLUE,N,Bowdoin to Wonderland,-71.03958035,42.36900166
29,Orient Heights,BLUE,N,Bowdoin to Wonderland,-71.00479697,42.38685032
32,Revere Beach,BLUE,N,Bowdoin to Wonderland,-70.99250406,42.40785109
30,Suffolk Downs,BLUE,N,Bowdoin to Wonderland,-70.9971503,42.39050515
33,Wonderland,BLUE,Y,Bowdoin to Wonderland,-70.99166509,42.41344217
28,Wood Island,BLUE,N,Bowdoin to Wonderland,-71.02291287,42.37965611
119,State,BLUE/ORANGE,N,BLUE Bowdoin to Wonderland / ORANGE Forest Hills to Oak Grove,-71.05781964,42.35880802
83,Allston Street,GREEN,N,B - Boston College,-71.13763742,42.34858476
8,Arlington,GREEN,N,B C D E,-71.07099017,42.35177712
79,Babcock Street,GREEN,N,B - Boston College,-71.1217158,42.35181754
70,Back of the Hill,GREEN,N,E - Health Street,-71.11107101,42.32964692
108,Beaconsfield,GREEN,N,D - Riverside,-71.14025989,42.33570085
73,Blandford Street,GREEN,N,B - Boston College,-71.10005619,42.34920675
90,Boston College,GREEN,Y,B - Boston College,-71.16702559,42.34016411
75,Boston Univ Central,GREEN,N,B - Boston College,-71.10703673,42.35004943
74,Boston Univ East,GREEN,N,B - Boston College,-71.10442855,42.34972981
76,Boston Univ West,GREEN,N,B - Boston College,-71.11350702,42.35083035
10,Boylston,GREEN,N,B C D E,-71.06460273,42.35302999
97,Brandon Hall,GREEN,N,C - Cleveland Circle,-71.12865781,42.34006231
66,Brigham Circle,GREEN,N,E - Health Street,-71.10372479,42.33457972
107,Brookline Hills,GREEN,N,D - Riverside,-71.12672802,42.33130326
106,Brookline Village,GREEN,N,D - Riverside,-71.11682854,42.33260333
110,Chestnut Hill,GREEN,N,D - Riverside,-71.16460936,42.32675045
88,Chestnut Hill Avenue,GREEN,N,B - Boston College,-71.15265592,42.33858644
87,Chiswick Road,GREEN,N,B - Boston College,-71.15095194,42.34062675
91,Cleveland Circle,GREEN,Y,C - Cleveland Circle,-71.14928725,42.33614538
99,Coolidge Corner,GREEN,N,C - Cleveland Circle,-71.12129605,42.34215865
9,Copley,GREEN,N,B C D E,-71.07797605,42.34991627
93,Dean Road,GREEN,N,C - Cleveland Circle,-71.14195596,42.337723
113,Eliot,GREEN,N,D - Riverside,-71.21658869,42.31898683
92,Englewood Avenue,GREEN,N,C - Cleveland Circle,-71.14549901,42.33699347
96,Fairbanks Street,GREEN,N,C - Cleveland Circle,-71.13129765,42.33964892
104,Fenway,GREEN,N,D - Riverside,-71.10460503,42.34516731
67,Fenwood Road,GREEN,N,E - Health Street,-71.10564628,42.33375407
24,Government Center,GREEN,N,BLUE Bowdoin to Wonderland / GREEN B C D E,-71.05945926,42.35930527
82,Griggs Street,GREEN,N,B - Boston College,-71.13436524,42.34882818
81,Harvard Avenue,GREEN,N,B - Boston College,-71.13100788,42.35042044
102,Hawes Street,GREEN,N,C - Cleveland Circle,-71.11117541,42.34486859
12,Haymarket,GREEN,N,GREEN C E / ORANGE Forest Hills to Oak Grove,-71.05785225,42.36248119
71,Heath Street,GREEN,Y,E - Health Street,-71.11028162,42.32831995
72,Hynes,GREEN,N,B C D,-71.08731516,42.34799096
7,Kenmore,GREEN,N,B C D,-71.09554537,42.34900554
101,Kent Street,GREEN,N,C - Cleveland Circle,-71.1142919,42.34401879
21,Lechmere,GREEN,Y,E - Lechmere,-71.07715831,42.37092655
105,Longwood,GREEN,N,D - Riverside,-71.10993518,42.34167779
65,Longwood Medical Area,GREEN,N,E - Health Street,-71.0995616,42.33614968
68,Mission Park,GREEN,N,E - Health Street,-71.10958557,42.33318808
64,Museum of Fine Arts,GREEN,N,E - Health Street,-71.09497665,42.33793381
111,Newton Centre,GREEN,N,D - Riverside,-71.19237044,42.32942415
112,Newton Highlands,GREEN,N,D - Riverside,-71.2055025,42.32236274
13,North Station,GREEN,N,GREEN C E / ORANGE Forest Hills to Oak Grove,-71.05998353,42.36515244
63,Northeastern,GREEN,N,E - Health Street,-71.08965266,42.3400593
80,Packards Corner,GREEN,N,B - Boston College,-71.12522644,42.35179448
117,Park Street,GREEN,N,GREEN B C D E / RED A - Ashmont  B - Braintree  C - Alewife,-71.06231043,42.35621194
78,Pleasant Street,GREEN,N,B - Boston College,-71.11906077,42.35149832
61,Prudential,GREEN,N,E - Health Street,-71.08119969,42.34577678
